"Context"	"Observation"	"Subj_ID"	"Gender"	"z.age"	"Age"	"Trial"	"Mean"
"1"	"Help"	"Observed"	"ProShame01"	"w"	0.29329616913177	"5.700205339"	"Trial 1"	0.0144571346153846
"3"	"Help"	"Observed"	"ProShame09"	"w"	0.436881106669751	"5.749486653"	"Trial 1"	-0.00536632051282054
"5"	"Help"	"Observed"	"ProShame100"	"w"	-0.528328753814305	"5.418206708"	"Trial 1"	0.00567570833333331
"7"	"Help"	"Observed"	"ProShame101"	"w"	0.0858957015330143	"5.629021218"	"Trial 1"	-0.00414329807692307
"9"	"Help"	"Observed"	"ProShame105"	"w"	-1.38983838195577	"5.122518823"	"Trial 1"	-0.0532769134615385
"10"	"Help"	"Observed"	"ProShame17"	"m"	1.00324391811346	"5.943874059"	"Trial 1"	-0.0132649754524886
"12"	"Help"	"Observed"	"ProShame21"	"w"	0.221503700362779	"5.675564682"	"Trial 1"	-0.133868658653846
"14"	"Help"	"Observed"	"ProShame25"	"w"	-1.04682991844083	"5.240246407"	"Trial 1"	-0.0239324855769231
"16"	"Help"	"Observed"	"ProShame29"	"m"	-0.0576892360049669	"5.579739904"	"Trial 1"	-0.0296881650641026
"17"	"Help"	"Observed"	"ProShame37"	"m"	0.468788870243349	"5.760438056"	"Trial 1"	-0.0268091249999999
"19"	"Help"	"Observed"	"ProShame41"	"m"	-1.01492215486723	"5.25119781"	"Trial 1"	-0.0399006907051282
"21"	"Help"	"Observed"	"ProShame45"	"m"	-1.60521579117632	"5.048596851"	"Trial 1"	0.0166590977564103
"23"	"Help"	"Observed"	"ProShame49"	"w"	-0.807521690182051	"5.32238193"	"Trial 1"	-0.0456240961538462
"25"	"Help"	"Observed"	"ProShame53"	"m"	-1.1186223901234	"5.215605749"	"Trial 1"	-0.102710907051282
"27"	"Help"	"Observed"	"ProShame57"	"w"	-0.879314158951042	"5.297741273"	"Trial 1"	-0.0451608205128205
"29"	"Help"	"Observed"	"ProShame61"	"m"	-0.967060510963621	"5.267624914"	"Trial 1"	-0.0783819503205128
"31"	"Help"	"Unobserved"	"ProShame04"	"w"	1.64937613994795	"6.165639973"	"Trial 1"	-0.0118437451923077
"33"	"Help"	"Unobserved"	"ProShame08"	"m"	1.11492109207784	"5.98220397"	"Trial 1"	0.0409705625
"35"	"Help"	"Unobserved"	"ProShame12"	"m"	1.08301332850424	"5.971252567"	"Trial 1"	0.0114787884615385
"37"	"Help"	"Unobserved"	"ProShame20"	"w"	-1.61319272988454	"5.045859001"	"Trial 1"	-0.000833793269230793
"38"	"Help"	"Unobserved"	"ProShame36"	"m"	1.33827544000661	"6.058863792"	"Trial 1"	-0.0298903798076923
"40"	"Help"	"Unobserved"	"ProShame40"	"w"	1.28243685156763	"6.039698836"	"Trial 1"	-0.037209375
